name,mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating
100%_Bran,N,C,70,4,1,130,10,5,6,280,25,3,1,0.33,68.402973
100%_Bran,N,C,70,4,1,130,10,5,6,280,25,3,1,0.33,68.402973
All-Bran,K,C,70,4,1,260,9,7,5,320,25,3,1,0.33,59.425505
All-Bran,K,C,70,4,1,260,9,7,5,320,25,3,1,0.33,59.425505
All-Bran,K,C,70,4,1,260,9,7,5,320,25,3,1,0.33,59.425505
Sugar_Bomb,Z,C,400,0,10,600,0,50,60,10,0,2,1,1.5,1.5
Fiber_Max,K,C,50,12,0,0,25,8,0,400,100,3,1,0.5,95
Fiber_Max,K,C,50,12,0,0,25,8,0,400,100,3,1,0.5,95
Corn_Flakes,K,C,100,2,0,290,1,21,2,35,25,1,1,1,45.863324
Corn_Flakes,K,C,100,2,0,290,1,21,2,35,25,1,1,1,45.863324
Oat_King,K,H,110,6,2,0,3,17,1,105,25,1,1,1.25,50.764999
